territory_code_full,territory_code_numeric,territory_code_ine,name,level,level_code,district_code,district_name,municipality_code,municipality_name,parish_code,parish_name,region
LOCAL-091200,091200,91200,Seia,concelho,6,LOCAL-090000,Guarda,LOCAL-091200,Seia,,,Centro
LOCAL-091300,091300,91300,Trancoso,concelho,6,LOCAL-090000,Guarda,LOCAL-091300,Trancoso,,,Centro
LOCAL-091400,091400,91400,Vila Nova de Foz Côa,concelho,6,LOCAL-090000,Guarda,LOCAL-091400,Vila Nova de Foz Côa,,,Centro
LOCAL-100100,100100,100100,Alcobaça,concelho,6,LOCAL-100000,Leiria,LOCAL-100100,Alcobaça,,,Centro
LOCAL-100200,100200,100200,Alvaiázere,concelho,6,LOCAL-100000,Leiria,LOCAL-100200,Alvaiázere,,,Centro
LOCAL-100300,100300,100300,Ansião,concelho,6,LOCAL-100000,Leiria,LOCAL-100300,Ansião,,,Centro
LOCAL-100400,100400,100400,Batalha,concelho,6,LOCAL-100000,Leiria,LOCAL-100400,Batalha,,,Centro
LOCAL-100500,100500,100500,Bombarral,concelho,6,LOCAL-100000,Leiria,LOCAL-100500,Bombarral,,,Centro
LOCAL-100600,100600,100600,Caldas da Rainha,concelho,6,LOCAL-100000,Leiria,LOCAL-100600,Caldas da Rainha,,,Centro
LOCAL-100700,100700,100700,Castanheira de Pêra,concelho,6,LOCAL-100000,Leiria,LOCAL-100700,Castanheira de Pêra,,,Centro
LOCAL-100800,100800,100800,Figueiró dos Vinhos,concelho,6,LOCAL-100000,Leiria,LOCAL-100800,Figueiró dos Vinhos,,,Centro
LOCAL-100900,100900,100900,Leiria,concelho,6,LOCAL-100000,Leiria,LOCAL-100900,Leiria,,,Centro
LOCAL-101000,101000,101000,Marinha Grande,concelho,6,LOCAL-100000,Leiria,LOCAL-101000,Marinha Grande,,,Centro
LOCAL-101100,101100,101100,Nazaré,concelho,6,LOCAL-100000,Leiria,LOCAL-101100,Nazaré,,,Centro
LOCAL-101300,101300,101300,Pedrógão Grande,concelho,6,LOCAL-100000,Leiria,LOCAL-101300,Pedrógão Grande,,,Centro
LOCAL-101400,101400,101400,Peniche,concelho,6,LOCAL-100000,Leiria,LOCAL-101400,Peniche,,,Centro
LOCAL-101500,101500,101500,Pombal,concelho,6,LOCAL-100000,Leiria,LOCAL-101500,Pombal,,,Centro
LOCAL-101600,101600,101600,Porto de Mós,concelho,6,LOCAL-100000,Leiria,LOCAL-101600,Porto de Mós,,,Centro
LOCAL-101200,101200,101200,Óbidos,concelho,6,LOCAL-100000,Leiria,LOCAL-101200,Óbidos,,,Centro
LOCAL-110100,110100,110100,Alenquer,concelho,6,LOCAL-110000,Lisboa,LOCAL-110100,Alenquer,,,Área Metropolitana de Lisboa
LOCAL-111500,111500,111500,Amadora,concelho,6,LOCAL-110000,Lisboa,LOCAL-111500,Amadora,,,Área Metropolitana de Lisboa
LOCAL-110200,110200,110200,Arruda dos Vinhos,concelho,6,LOCAL-110000,Lisboa,LOCAL-110200,Arruda dos Vinhos,,,Área Metropolitana de Lisboa
LOCAL-110300,110300,110300,Azambuja,concelho,6,LOCAL-110000,Lisboa,LOCAL-110300,Azambuja,,,Área Metropolitana de Lisboa
LOCAL-110400,110400,110400,Cadaval,concelho,6,LOCAL-110000,Lisboa,LOCAL-110400,Cadaval,,,Área Metropolitana de Lisboa
LOCAL-110500,110500,110500,Cascais,concelho,6,LOCAL-110000,Lisboa,LOCAL-110500,Cascais,,,Área Metropolitana de Lisboa
LOCAL-110600,110600,110600,Lisboa,concelho,6,LOCAL-110000,Lisboa,LOCAL-110600,Lisboa,,,Área Metropolitana de Lisboa
LOCAL-110700,110700,110700,Loures,concelho,6,LOCAL-110000,Lisboa,LOCAL-110700,Loures,,,Área Metropolitana de Lisboa
LOCAL-110800,110800,110800,Lourinhã,concelho,6,LOCAL-110000,Lisboa,LOCAL-110800,Lourinhã,,,Área Metropolitana de Lisboa
LOCAL-110900,110900,110900,Mafra,concelho,6,LOCAL-110000,Lisboa,LOCAL-110900,Mafra,,,Área Metropolitana de Lisboa
LOCAL-111600,111600,111600,Odivelas,concelho,6,LOCAL-110000,Lisboa,LOCAL-111600,Odivelas,,,Área Metropolitana de Lisboa
LOCAL-111000,111000,111000,Oeiras,concelho,6,LOCAL-110000,Lisboa,LOCAL-111000,Oeiras,,,Área Metropolitana de Lisboa
LOCAL-111100,111100,111100,Sintra,concelho,6,LOCAL-110000,Lisboa,LOCAL-111100,Sintra,,,Área Metropolitana de Lisboa
LOCAL-111200,111200,111200,Sobral de Monte Agraço,concelho,6,LOCAL-110000,Lisboa,LOCAL-111200,Sobral de Monte Agraço,,,Área Metropolitana de Lisboa
LOCAL-111300,111300,111300,Torres Vedras,concelho,6,LOCAL-110000,Lisboa,LOCAL-111300,Torres Vedras,,,Área Metropolitana de Lisboa
LOCAL-111400,111400,111400,Vila Franca de Xira,concelho,6,LOCAL-110000,Lisboa,LOCAL-111400,Vila Franca de Xira,,,Área Metropolitana de Lisboa
LOCAL-310100,310100,310100,Calheta,concelho,6,LOCAL-300000,Madeira,LOCAL-310100,Calheta,,,Região Autónoma da Madeira
LOCAL-310200,310200,310200,Câmara de Lobos,concelho,6,LOCAL-300000,Madeira,LOCAL-310200,Câmara de Lobos,,,Região Autónoma da Madeira
LOCAL-310300,310300,310300,Funchal,concelho,6,LOCAL-300000,Madeira,LOCAL-310300,Funchal,,,Região Autónoma da Madeira
LOCAL-310400,310400,310400,Machico,concelho,6,LOCAL-300000,Madeira,LOCAL-310400,Machico,,,Região Autónoma da Madeira
LOCAL-310500,310500,310500,Ponta do Sol,concelho,6,LOCAL-300000,Madeira,LOCAL-310500,Ponta do Sol,,,Região Autónoma da Madeira
LOCAL-310600,310600,310600,Porto Moniz,concelho,6,LOCAL-300000,Madeira,LOCAL-310600,Porto Moniz,,,Região Autónoma da Madeira
LOCAL-320100,320100,320100,Porto Santo,concelho,6,LOCAL-300000,Madeira,LOCAL-320100,Porto Santo,,,Região Autónoma da Madeira
LOCAL-310700,310700,310700,Ribeira Brava,concelho,6,LOCAL-300000,Madeira,LOCAL-310700,Ribeira Brava,,,Região Autónoma da Madeira
LOCAL-310800,310800,310800,Santa Cruz,concelho,6,LOCAL-300000,Madeira,LOCAL-310800,Santa Cruz,,,Região Autónoma da Madeira
LOCAL-310900,310900,310900,Santana,concelho,6,LOCAL-300000,Madeira,LOCAL-310900,Santana,,,Região Autónoma da Madeira
LOCAL-311000,311000,311000,São Vicente,concelho,6,LOCAL-300000,Madeira,LOCAL-311000,São Vicente,,,Região Autónoma da Madeira
LOCAL-120100,120100,120100,Alter do Chão,concelho,6,LOCAL-120000,Portalegre,LOCAL-120100,Alter do Chão,,,Alentejo
LOCAL-120200,120200,120200,Arronches,concelho,6,LOCAL-120000,Portalegre,LOCAL-120200,Arronches,,,Alentejo
LOCAL-120300,120300,120300,Avis,concelho,6,LOCAL-120000,Portalegre,LOCAL-120300,Avis,,,Alentejo
