territory_code_full,territory_code_numeric,territory_code_ine,name,level,level_code,parent_code,parent_code_numeric,parent_name,municipality_code,municipality_name,district_code,district_code_numeric,district_name,region
LOCAL-010124,010124,010124,Recardães e Espinhel,freguesia,7,LOCAL-010100,010100,Águeda,LOCAL-010100,Águeda,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010125,010125,010125,Travassô e Óis da Ribeira,freguesia,7,LOCAL-010100,010100,Águeda,LOCAL-010100,Águeda,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010126,010126,010126,"Trofa, Segadães e Lamas do Vouga",freguesia,7,LOCAL-010100,010100,Águeda,LOCAL-010100,Águeda,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010119,010119,010119,Valongo do Vouga,freguesia,7,LOCAL-010100,010100,Águeda,LOCAL-010100,Águeda,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010121,010121,010121,Águeda e Borralha,freguesia,7,LOCAL-010100,010100,Águeda,LOCAL-010100,Águeda,LOCAL-010000,010000,Aveiro,Centro
LOCAL-011005,011005,011005,Gafanha da Encarnação,freguesia,7,LOCAL-011000,011000,Ílhavo,LOCAL-011000,Ílhavo,LOCAL-010000,010000,Aveiro,Centro
LOCAL-011006,011006,011006,Gafanha da Nazaré,freguesia,7,LOCAL-011000,011000,Ílhavo,LOCAL-011000,Ílhavo,LOCAL-010000,010000,Aveiro,Centro
LOCAL-011007,011007,011007,Gafanha do Carmo,freguesia,7,LOCAL-011000,011000,Ílhavo,LOCAL-011000,Ílhavo,LOCAL-010000,010000,Aveiro,Centro
LOCAL-011008,011008,011008,Ílhavo (São Salvador),freguesia,7,LOCAL-011000,011000,Ílhavo,LOCAL-011000,Ílhavo,LOCAL-010000,010000,Aveiro,Centro
LOCAL-430101,430101,430101,Altares,freguesia,7,LOCAL-430100,430100,Angra do Heroísmo,LOCAL-430100,Angra do Heroísmo,LOCAL-400000,400000,Açores,Região Autónoma dos Açores
